strategy_name,direction,trend_strength,bias,duration_minutes,ema_slope,rsi,atr,bb_width,timestamp,result
self_adjusting_v5,put,0.0003206564703796407,bearish,5,-0.0003110950788050177,25.863081612567413,0.00023571428571430734,0.0009651386509410958,2025-11-03 15:26:16,loss
self_adjusting_v5,put,0.00040801717546917797,bearish,10,-0.00038179939711315155,23.543641074143878,0.00024500000000000314,0.0012825655103337922,2025-11-03 15:28:22,loss
self_adjusting_v5,put,0.0005033887233394618,bearish,10,-0.0004619735621940851,28.73449535192779,0.000251428571428585,0.001608036313044935,2025-11-03 15:31:30,win
self_adjusting_v5,put,0.0005446111797067683,bearish,10,-0.00048786959829064775,28.340569822722912,0.00025928571428571586,0.0016369397834781886,2025-11-03 15:34:00,win
self_adjusting_v5,put,0.00047342708043270667,bearish,10,-0.00046480900861766366,25.506552698194284,0.00023857142857142133,0.0016212095102821923,2025-11-03 15:36:07,loss
self_adjusting_v5,put,0.0004168832303345622,bearish,10,-0.00041668049254366536,30.541193177417398,0.00023499999999998522,0.0014653983760725773,2025-11-03 15:38:13,loss
self_adjusting_v5,put,0.0003133495523536984,bearish,5,-0.00032199839183204033,40.30253113957471,0.00022928571428570965,0.0012118505944291472,2025-11-03 15:40:20,loss
self_adjusting_v5,put,0.0002436177367073847,bearish,5,-0.00023930757775934706,45.969305222484245,0.00024142857142855117,0.0008544875350205084,2025-11-03 15:42:26,loss
self_adjusting_v5,put,0.00020579420329278715,bearish,5,-0.00017230721405079569,32.19176822812537,0.00029928571428574003,0.0011436653580711056,2025-11-03 15:51:39,loss
self_adjusting_v5,put,0.00024693393402586437,bearish,5,-0.00021312390967440708,38.95482958305139,0.00029214285714288364,0.0011417956569434939,2025-11-03 15:52:34,loss
self_adjusting_v5,put,0.00028827874371050615,bearish,5,-0.0002595673466186772,43.912536351562395,0.00028285714285718785,0.0011144298842914937,2025-11-03 15:54:44,win
self_adjusting_v5,put,0.0003273109897946889,bearish,5,-0.0002742240475762999,32.039670785311856,0.00030642857142861225,0.001286065353854696,2025-11-03 15:57:00,loss
self_adjusting_v5,put,0.00032075771579262533,bearish,5,-0.0002935781462454972,36.31831257154751,0.0002835714285714624,0.0015241936297194067,2025-11-03 15:59:07,loss
self_adjusting_v5,put,0.00027128453170196983,bearish,5,-0.0002693034903799967,42.541200514421995,0.00026214285714287744,0.0014993550756534837,2025-11-03 16:01:13,loss
self_adjusting_v5,put,0.0002679259392264399,bearish,5,-0.0002657563225856756,43.040684342362695,0.00026285714285716785,0.0012600339471494585,2025-11-03 16:03:20,win
self_adjusting_v5,put,0.0002111535800104612,bearish,5,-0.00023085281907855474,39.34015549441684,0.00023857142857143719,0.000801483999017841,2025-11-03 16:05:26,loss
self_adjusting_v5,put,0.00019071698489339856,bearish,5,-0.00020912432471767868,34.719699148738414,0.00023785714285713095,0.0008383571189471025,2025-11-03 16:07:33,draw
self_adjusting_v5,put,0.00018871897961038908,bearish,5,-0.000213310694373869,34.09301809862987,0.0002314285714285491,0.0008098506023131965,2025-11-03 16:10:00,win
self_adjusting_v5,put,0.00024282285520436751,bearish,5,-0.00031758444517577313,26.20287389121694,0.0001992857142856876,0.0011271849726044864,2025-11-03 16:12:07,win
self_adjusting_v5,put,0.00033521871905426695,bearish,5,-0.0004042382568692066,28.171668580826775,0.00021571428571427148,0.0013284133905981943,2025-11-03 16:14:13,win
self_adjusting_v5,put,0.00036016776517930945,bearish,10,-0.0004467560446992874,30.877853256979407,0.00020857142857141512,0.0014685838720692168,2025-11-03 16:16:20,loss
self_adjusting_v5,call,0.00019117392135924722,bullish,5,0.000187051014704766,62.18124528475774,0.00023714285714287225,0.0010220514823703155,2025-11-03 16:57:59,win
self_adjusting_v5,call,0.00024118979932356716,bullish,5,0.00025895159228591134,58.14692210149527,0.00021571428571428734,0.0010175402929271905,2025-11-03 17:00:05,win
self_adjusting_v5,call,0.00021984983204742032,bullish,5,0.0002443796534032435,58.69796777404091,0.00020857142857143098,0.0010213000792149314,2025-11-03 17:02:12,loss
self_adjusting_v5,call,0.00019452402360263445,bullish,5,0.00021886654472408798,63.61364024445869,0.00020571428571428525,0.0010672762699737836,2025-11-03 17:04:18,loss
self_adjusting_v5,call,0.00019840610552805728,bullish,5,0.00021803149684020395,68.24262487055978,0.0002107142857142863,0.001100866052518808,2025-11-03 17:06:25,loss
self_adjusting_v5,call,0.0002136553279123748,bullish,5,0.00023270446387953277,65.0233097838101,0.00021214285714285123,0.0010702869569424282,2025-11-03 17:08:32,loss
