time,id,from,at,to,open,close,low,high,volume
2025-10-14 02:57:00,2971695,1760410620,1760410680000000000,1760410680,0.914175,0.91413,0.914115,0.91421,59
2025-10-14 02:58:00,2971696,1760410680,1760410740000000000,1760410740,0.914115,0.914195,0.914115,0.91424,76
2025-10-14 02:59:00,2971697,1760410740,1760410800000000000,1760410800,0.91421,0.91403,0.914015,0.91421,128
2025-10-14 03:00:00,2971698,1760410800,1760410860000000000,1760410860,0.914015,0.91397,0.913915,0.91403,131
2025-10-14 03:01:00,2971699,1760410860,1760410920000000000,1760410920,0.91399,0.91418,0.913985,0.9142,130
2025-10-14 03:02:00,2971700,1760410920,1760410980000000000,1760410980,0.914165,0.9142,0.91414,0.91421,84
2025-10-14 03:03:00,2971701,1760410980,1760411040000000000,1760411040,0.9142,0.914215,0.914165,0.914235,94
2025-10-14 03:04:00,2971702,1760411040,1760411100000000000,1760411100,0.914205,0.914095,0.914095,0.91423,86
2025-10-14 03:05:00,2971703,1760411100,1760411160000000000,1760411160,0.91411,0.91406,0.914045,0.91413,117
2025-10-14 03:06:00,2971704,1760411160,1760411220000000000,1760411220,0.914055,0.91403,0.913995,0.914085,106
2025-10-14 03:07:00,2971705,1760411220,1760411280000000000,1760411280,0.91402,0.913675,0.913665,0.914035,163
2025-10-14 03:08:00,2971706,1760411280,1760411340000000000,1760411340,0.91368,0.913545,0.913485,0.91369,103
2025-10-14 03:09:00,2971707,1760411340,1760411400000000000,1760411400,0.913545,0.91367,0.913545,0.913765,213
2025-10-14 03:10:00,2971708,1760411400,1760411460000000000,1760411460,0.91366,0.91358,0.913535,0.9137,180
2025-10-14 03:11:00,2971709,1760411460,1760411520000000000,1760411520,0.913565,0.91349,0.913455,0.913615,108
2025-10-14 03:12:00,2971710,1760411520,1760411580000000000,1760411580,0.91349,0.913165,0.913165,0.91349,162
2025-10-14 03:13:00,2971711,1760411580,1760411640000000000,1760411640,0.913175,0.91337,0.913135,0.913385,150
2025-10-14 03:14:00,2971712,1760411640,1760411700000000000,1760411700,0.913355,0.913245,0.913245,0.91345,180
2025-10-14 03:15:00,2971713,1760411700,1760411760000000000,1760411760,0.91326,0.913265,0.913225,0.913325,123
2025-10-14 03:16:00,2971714,1760411760,1760411820000000000,1760411820,0.91327,0.91336,0.91327,0.91343,127
2025-10-14 03:17:00,2971715,1760411820,1760411880000000000,1760411880,0.91337,0.91309,0.913065,0.91338,156
2025-10-14 03:18:00,2971716,1760411880,1760411940000000000,1760411940,0.91309,0.91309,0.91298,0.91309,101
2025-10-14 03:19:00,2971717,1760411940,1760412000000000000,1760412000,0.91308,0.913,0.91289,0.91309,123
2025-10-14 03:20:00,2971718,1760412000,1760412060000000000,1760412060,0.913005,0.91291,0.912895,0.91306,103
2025-10-14 03:21:00,2971719,1760412060,1760412120000000000,1760412120,0.9129,0.912655,0.912535,0.91303,314
2025-10-14 03:22:00,2971720,1760412120,1760412180000000000,1760412180,0.91267,0.91253,0.91252,0.912685,131
2025-10-14 03:23:00,2971721,1760412180,1760412240000000000,1760412240,0.91254,0.91262,0.912525,0.91269,227
2025-10-14 03:24:00,2971722,1760412240,1760412300000000000,1760412300,0.912615,0.91254,0.912505,0.91265,155
2025-10-14 03:25:00,2971723,1760412300,1760412360000000000,1760412360,0.91254,0.91257,0.91253,0.912595,97
2025-10-14 03:26:00,2971724,1760412360,1760412420000000000,1760412420,0.91258,0.912535,0.91247,0.91261,112
2025-10-14 03:27:00,2971725,1760412420,1760412480000000000,1760412480,0.912545,0.912655,0.912525,0.912685,175
2025-10-14 03:28:00,2971726,1760412480,1760412540000000000,1760412540,0.91267,0.91261,0.912585,0.91267,103
2025-10-14 03:29:00,2971727,1760412540,1760412600000000000,1760412600,0.9126,0.91253,0.91249,0.9126,96
2025-10-14 03:30:00,2971728,1760412600,1760412660000000000,1760412660,0.912525,0.912265,0.912255,0.91253,129
2025-10-14 03:31:00,2971729,1760412660,1760412720000000000,1760412720,0.912275,0.91219,0.91218,0.91228,64
2025-10-14 03:32:00,2971730,1760412720,1760412780000000000,1760412780,0.91219,0.91225,0.91218,0.91227,57
2025-10-14 03:33:00,2971731,1760412780,1760412840000000000,1760412840,0.91226,0.912245,0.91219,0.91226,60
2025-10-14 03:34:00,2971732,1760412840,1760412900000000000,1760412900,0.912245,0.91202,0.91201,0.912245,137
2025-10-14 03:35:00,2971733,1760412900,1760412960000000000,1760412960,0.91201,0.911835,0.91182,0.91203,171
2025-10-14 03:36:00,2971734,1760412960,1760413020000000000,1760413020,0.91184,0.9119,0.91168,0.9119,214
2025-10-14 03:37:00,2971735,1760413020,1760413080000000000,1760413080,0.91191,0.911905,0.911695,0.91193,220
2025-10-14 03:38:00,2971736,1760413080,1760413140000000000,1760413140,0.911915,0.911915,0.911905,0.91206,171
2025-10-14 03:39:00,2971737,1760413140,1760413200000000000,1760413200,0.911925,0.91202,0.911915,0.91208,142
2025-10-14 03:40:00,2971738,1760413200,1760413260000000000,1760413260,0.912025,0.91218,0.912015,0.912185,119
2025-10-14 03:41:00,2971739,1760413260,1760413320000000000,1760413320,0.912165,0.912105,0.912075,0.912165,121
2025-10-14 03:42:00,2971740,1760413320,1760413380000000000,1760413380,0.91211,0.91221,0.912075,0.91227,126
2025-10-14 03:43:00,2971741,1760413380,1760413440000000000,1760413440,0.91222,0.91225,0.912195,0.91228,121
2025-10-14 03:44:00,2971742,1760413440,1760413500000000000,1760413500,0.91225,0.91234,0.912245,0.91234,59
2025-10-14 03:45:00,2971743,1760413500,1760413560000000000,1760413560,0.912335,0.91228,0.912215,0.91235,154
2025-10-14 03:46:00,2971744,1760413560,1760413620000000000,1760413620,0.912265,0.91233,0.912215,0.912345,127
2025-10-14 03:47:00,2971745,1760413620,1760413680000000000,1760413680,0.912335,0.912335,0.91227,0.91235,114
2025-10-14 03:48:00,2971746,1760413680,1760413740000000000,1760413740,0.912335,0.912245,0.912215,0.91234,113
2025-10-14 03:49:00,2971747,1760413740,1760413800000000000,1760413800,0.912245,0.91237,0.91219,0.91237,145
2025-10-14 03:50:00,2971748,1760413800,1760413860000000000,1760413860,0.91238,0.912315,0.912295,0.912415,104
2025-10-14 03:51:00,2971749,1760413860,1760413920000000000,1760413920,0.91233,0.912365,0.912315,0.91238,100
2025-10-14 03:52:00,2971750,1760413920,1760413980000000000,1760413980,0.91237,0.91237,0.912315,0.9124,104
2025-10-14 03:53:00,2971751,1760413980,1760414040000000000,1760414040,0.91238,0.912465,0.912365,0.91251,79
2025-10-14 03:54:00,2971752,1760414040,1760414100000000000,1760414100,0.912465,0.91234,0.912335,0.912485,125
2025-10-14 03:55:00,2971753,1760414100,1760414160000000000,1760414160,0.91233,0.91247,0.912235,0.91248,187
